UPA One Liner Detail,,,,,,,
Time run: 11/09/2020 8:46:46 AM,,,,,,,
,,,,,,,
RID,UPA #,Primary/Site NAICS,UPA Receipt Date,Receipt Type,Formality,Insp #,
0111100,C-1661653,322121 / 322121,09/18/2020,Mail,Nonformal,1496085,
0111100,C-1669187,237310 / 237310,10/06/2020,Online,Nonformal,,
0111100,C-1680684,722513 / 722513,10/30/2020,Hotline,Nonformal,,
0111100,C-1681000,622110 / 622110,11/02/2020,Phone,Nonformal,,
0111100,C-1683741,339950 / 339950,11/06/2020,Phone,Nonformal,,
0111400,C-1549159,624120 / 624120,03/02/2020,Phone,Nonformal,,
0111400,C-1555879,236220 / 2371,03/20/2020,Email,Nonformal,,
0111400,C-1556440,453998 / 453998,03/23/2020,Hotline,Nonformal,,
0111400,C-1557281,561312 / 561312,03/23/2020,Phone,Nonformal,,
0111400,C-1557630,532112 / 532112,03/24/2020,Phone,Nonformal,,
0111400,C-1558422,928110 / 928110,03/25/2020,Phone,Nonformal,,
0111400,C-1560957,339112 / 339112,03/30/2020,Phone,Nonformal,,
0111400,C-1561257,326113 / 326113,03/30/2020,Phone,Nonformal,,
0111400,C-1562060,236116 / 236116,03/30/2020,Email,Nonformal,,
0111400,C-1562131,517212 / 517212,03/30/2020,Phone,Nonformal,,
0111400,C-1563199,335999 / 335999,04/01/2020,Phone,Nonformal,,
0111400,C-1563881,522320 / 522320,04/02/2020,Hotline,Nonformal,,
0111400,C-1564089,444110 / 444110,04/02/2020,Phone,Nonformal,,
0111400,C-1564154,236220 / 236220,04/02/2020,Phone,Nonformal,,
0111400,C-1564297,492110 / 492110,04/02/2020,Phone,Nonformal,,
0111400,C-1566887,492110 / 492110,04/07/2020,Phone,Nonformal,,
0111400,C-1567846,238210 / 238210,04/08/2020,Phone,Nonformal,,
0111400,C-1569210,622210 / 622210,04/10/2020,Phone,Nonformal,,
0111400,C-1569443,622110 / 622110,04/10/2020,Phone,Nonformal,,
0111400,C-1573473,325411 / 325411,04/17/2020,Online,Nonformal,,
0111400,C-1575765,621610 / 621610,04/21/2020,Phone,Nonformal,,
0111400,C-1577249,517212 / 517212,04/23/2020,Online,Formal,,
0111400,C-1577782,446110 / 446110,04/24/2020,Phone,Nonformal,,
